ID,date,visitNumber,Channel
138,20170515,1,6
139,20170506,3,6
140,20170506,6,6
141,20170506,1,6
142,20170530,12,6
143,20170530,1,6
144,20170530,3,6
145,20170530,1,6
146,20170511,2,6
147,20170511,1,6
148,20170525,2,6
149,20170525,1,6
150,20170525,1,6
151,20170525,1,6
152,20170528,5,6
153,20170528,2,6
154,20170528,3,6
155,20170528,2,6
156,20170522,2,6
157,20170522,2,6
158,20170522,1,6
159,20170504,1,6
160,20170504,1,6
161,20170504,8,6
162,20170504,2,6
163,20170504,2,6
164,20170504,3,6
165,20170504,2,6
166,20170524,2,6
167,20170524,1,6
168,20170524,1,6
169,20170524,3,6
170,20170524,1,6
171,20170524,1,6
172,20170524,3,6
173,20170509,4,6
174,20170509,2,6
175,20170509,1,6
176,20170509,1,6
177,20170509,3,6
178,20170509,2,6
179,20170519,2,6
180,20170519,2,6
181,20170519,2,6
182,20170519,3,6
183,20170502,34,6
184,20170502,2,6
185,20170502,3,6
186,20170502,2,6
187,20170502,3,6
188,20170526,4,6
189,20170526,1,6
190,20170517,18,6
191,20170517,3,6
192,20170527,2,6
193,20170527,3,6
194,20170527,2,6
195,20170527,3,6
196,20170514,2,6
197,20170514,2,6
198,20170514,1,6
199,20170510,1,6
200,20170510,3,6
201,20170510,1,6
202,20170510,2,6
203,20170520,3,6
204,20170520,2,6
205,20170520,4,6
206,20170507,2,6
207,20170523,1,6
208,20170523,2,6
209,20170523,7,6
210,20170521,2,6
211,20170521,3,6
212,20170521,2,6
213,20170521,2,6
214,20170521,3,6
215,20170513,4,6
216,20170516,2,6
217,20170516,1,6
218,20170516,1,6
219,20170516,1,6
220,20170516,5,6
221,20170516,1,6
222,20170516,1,6
223,20170516,3,6
224,20170516,3,6
225,20170516,4,6
226,20170518,1,6
227,20170518,2,6
228,20170518,1,6
229,20170512,2,6
230,20170512,2,6
231,20170512,4,6
232,20170512,5,6
233,20170505,2,6
234,20170505,2,6
235,20170505,3,6
236,20170505,4,6
237,20170505,2,6
238,20170501,2,6
239,20170501,3,6
240,20170501,4,6
241,20170501,2,6
242,20170501,1,6
243,20170503,3,6
244,20170503,4,6
245,20170503,1,6
246,20170503,1,6
247,20170503,30,6
248,20170503,2,6
249,20170503,1,6
250,20170515,1,6
251,20170515,3,6
252,20170515,1,6
253,20170506,2,6
254,20170506,7,6
255,20170506,2,6
256,20170506,9,6
257,20170530,4,6
258,20170530,2,6
259,20170511,1,6
260,20170511,2,6
261,20170511,2,6
262,20170511,2,6
263,20170511,2,6
264,20170525,1,6
265,20170525,2,6
266,20170525,3,6
267,20170528,2,6
268,20170522,1,6
269,20170504,2,6
270,20170504,2,6
271,20170504,2,6
272,20170524,1,6
273,20170524,2,6
274,20170524,26,6
275,20170524,5,6
276,20170524,4,6
277,20170524,3,6
278,20170509,2,6
279,20170509,3,6
280,20170519,1,6
281,20170519,2,6
282,20170519,2,6
283,20170502,2,3
284,20170502,2,3
285,20170502,2,3
286,20170502,2,3
287,20170502,20,3
288,20170502,4,3
289,20170502,7,3
290,20170502,2,3
291,20170502,1,3
292,20170502,1,3
293,20170502,1,3
294,20170502,1,3
295,20170502,2,3
296,20170502,5,3
297,20170502,2,3
298,20170502,1,3
299,20170502,5,3
300,20170502,1,3
301,20170502,1,3
302,20170502,2,3
303,20170502,2,3
304,20170502,3,3
305,20170502,17,3
306,20170502,2,3
307,20170502,1,3
308,20170502,2,3
309,20170502,1,3
310,20170502,1,3
311,20170502,2,3
312,20170502,2,3
313,20170502,2,3
314,20170502,5,3
315,20170502,1,3
316,20170502,2,3
317,20170502,1,3
318,20170502,5,3
319,20170502,1,3
320,20170502,1,3
321,20170502,1,3
322,20170502,1,3
323,20170502,1,3
324,20170502,11,3
325,20170502,1,3
326,20170502,4,3
327,20170502,2,3
328,20170502,1,3
329,20170502,1,3
330,20170502,2,3
331,20170502,5,3
332,20170502,1,3
333,20170502,2,3
334,20170502,1,3
335,20170502,6,3
336,20170502,3,3
337,20170502,1,3
338,20170502,1,3
339,20170502,1,3
340,20170502,1,3
341,20170502,1,3
342,20170502,1,3
343,20170502,22,3
344,20170502,2,3
345,20170502,1,3
346,20170502,2,3
347,20170502,2,3
348,20170502,1,3
349,20170502,2,3
350,20170502,14,3
351,20170502,1,3
352,20170502,1,3
353,20170502,1,3
354,20170502,2,3
355,20170502,2,3
356,20170502,2,3
357,20170502,1,3
358,20170502,2,3
359,20170502,1,3
360,20170502,3,3
361,20170502,4,3
362,20170502,23,3
363,20170502,1,3
364,20170502,3,3
365,20170502,1,3
366,20170502,2,3
367,20170502,5,3
368,20170502,2,3
369,20170502,2,3
370,20170502,4,3
371,20170502,1,3
372,20170502,1,3
373,20170502,1,3
374,20170502,3,3
375,20170502,2,3
376,20170502,3,3
377,20170502,1,3
378,20170502,1,3
379,20170502,26,3
380,20170502,90,3
381,20170502,2,3
382,20170502,14,3
383,20170502,98,3
384,20170502,1,3
385,20170502,2,3
386,20170502,1,3
387,20170502,2,3
388,20170502,1,3
389,20170502,1,3
390,20170502,1,3
391,20170502,1,3
392,20170502,1,3
393,20170502,9,3
394,20170502,2,3
395,20170502,5,3
396,20170502,1,3
397,20170502,1,3
398,20170502,2,3
399,20170502,1,3
400,20170502,2,3
401,20170502,2,3
402,20170502,4,3
403,20170502,16,3
404,20170502,1,3
405,20170502,2,3
406,20170502,2,3
407,20170502,2,3
408,20170502,2,3
409,20170502,2,3
410,20170502,2,3
411,20170502,2,3
412,20170502,2,3
413,20170502,1,3
414,20170502,1,3
415,20170502,1,3
416,20170502,1,3
417,20170502,1,3
418,20170502,1,3
419,20170502,3,3
420,20170502,36,3
421,20170502,4,3
422,20170502,1,3
423,20170502,1,3
424,20170502,4,3
425,20170502,1,3
426,20170502,2,3
427,20170502,1,3
428,20170502,1,3
429,20170502,2,3
430,20170502,1,3
431,20170502,12,3
432,20170502,3,3
433,20170502,2,3
434,20170502,1,3
435,20170502,1,3
436,20170502,3,3
437,20170502,2,3
438,20170502,1,3
439,20170502,15,3
440,20170502,5,3
441,20170502,3,3
442,20170502,2,3
443,20170502,5,3
444,20170502,2,3
445,20170502,1,3
446,20170502,3,3
447,20170502,1,3
448,20170502,2,3
449,20170502,3,3
450,20170502,1,3
451,20170502,1,3
452,20170502,2,3
453,20170502,4,3
454,20170502,8,3
455,20170502,2,3
456,20170502,4,3
457,20170502,1,3
458,20170502,3,3
459,20170502,2,3
460,20170502,1,3
461,20170502,1,3
462,20170502,1,3
463,20170502,1,3
464,20170502,2,3
465,20170502,1,3
466,20170502,3,3
467,20170502,1,3
468,20170502,4,3
469,20170502,1,3
470,20170502,1,3
471,20170502,2,3
472,20170502,1,3
473,20170502,1,3
474,20170502,10,3
475,20170502,2,3
476,20170502,4,3
477,20170502,2,3
478,20170502,1,3
479,20170502,4,3
480,20170502,6,3
481,20170502,9,3
482,20170502,1,3
483,20170502,3,3
484,20170502,2,3
485,20170502,2,3
486,20170502,5,3
487,20170502,1,3
488,20170502,4,3
489,20170502,6,3
490,20170502,2,3
491,20170502,1,3
492,20170502,8,3
493,20170502,1,3
494,20170502,2,3
495,20170502,2,3
496,20170502,17,3
497,20170502,6,3
498,20170502,1,3
499,20170502,1,3
500,20170502,2,3
501,20170502,11,3
502,20170502,3,3
503,20170502,1,3
504,20170502,8,3
505,20170502,2,3
506,20170502,2,3
507,20170502,5,3
508,20170502,1,3
509,20170502,5,3
510,20170502,2,3
511,20170502,2,3
512,20170502,1,3
513,20170502,12,3
514,20170502,2,3
515,20170502,1,3
516,20170502,1,3
517,20170502,2,3
518,20170502,1,3
519,20170502,2,3
520,20170502,3,3
521,20170502,1,3
522,20170502,1,3
523,20170502,3,3
524,20170502,1,3
525,20170502,1,3
526,20170502,25,3
527,20170502,1,3
528,20170502,2,3
529,20170502,19,3
530,20170502,31,3
531,20170502,1,3
532,20170502,7,3
533,20170502,1,3
534,20170502,2,3
535,20170502,6,3
536,20170502,1,3
537,20170502,3,3
538,20170502,1,3
539,20170502,2,3
540,20170502,1,3
541,20170502,1,3
542,20170502,3,3
543,20170502,1,3
544,20170502,20,3
545,20170502,16,3
546,20170502,2,3
547,20170502,6,3
548,20170502,1,3
549,20170502,3,3
550,20170502,1,3
551,20170502,2,3
552,20170502,2,3
553,20170502,2,3
554,20170502,2,3
555,20170502,1,3
556,20170502,5,3
557,20170502,6,3
558,20170502,18,3
559,20170502,2,3
560,20170502,2,3
561,20170502,1,3
562,20170502,2,3
563,20170502,50,3
564,20170502,2,3
565,20170502,2,3
566,20170502,1,3
567,20170502,1,3
568,20170502,1,3
569,20170502,2,3
570,20170502,2,3
571,20170502,1,3
572,20170502,2,3
573,20170502,1,3
574,20170502,2,3
575,20170502,2,3
576,20170502,3,3
577,20170502,1,3
578,20170502,1,3
579,20170502,3,3
580,20170502,3,3
581,20170502,6,3
582,20170502,4,3
583,20170502,10,3
584,20170502,1,3
585,20170502,1,3
586,20170502,7,3
587,20170502,1,3
588,20170502,3,3
589,20170502,3,3
590,20170502,5,3
591,20170502,2,3
592,20170502,4,3
593,20170502,1,3
594,20170502,2,3
595,20170502,1,3
596,20170502,1,3
597,20170502,1,3
598,20170502,15,3
599,20170502,3,3
600,20170502,2,3
601,20170502,1,3
602,20170526,1,3
603,20170526,2,3
604,20170526,3,3
605,20170526,2,3
606,20170526,1,3
607,20170526,1,3
608,20170526,1,3
609,20170526,1,3
610,20170526,1,3
611,20170526,1,3
612,20170526,1,3
613,20170526,1,3
614,20170526,41,3
615,20170526,2,3
616,20170526,1,3
617,20170526,2,3
618,20170526,1,3
619,20170526,1,3
620,20170526,6,3
621,20170526,2,3
622,20170526,2,3
623,20170526,1,3
624,20170526,1,3
625,20170526,1,3
626,20170526,7,3
627,20170526,1,3
628,20170526,1,3
629,20170526,6,3
630,20170526,1,3
631,20170526,1,3
632,20170526,2,3
633,20170526,1,3
634,20170526,1,3
635,20170526,2,3
636,20170526,1,3
637,20170526,1,3
638,20170526,1,3
639,20170526,1,3
640,20170526,1,3
641,20170526,1,3
642,20170526,1,3
643,20170526,1,3
644,20170526,5,3
645,20170526,70,3
646,20170526,1,3
647,20170526,1,3
648,20170526,1,3
649,20170526,1,3
650,20170526,1,3
651,20170526,1,3
652,20170526,1,3
653,20170526,4,3
654,20170526,1,3
655,20170526,1,3
656,20170526,2,3
657,20170526,3,3
658,20170526,1,3
659,20170526,3,3
660,20170526,1,3
661,20170526,1,3
662,20170526,1,3
663,20170526,1,3
664,20170526,3,3
665,20170526,1,3
666,20170526,23,3
667,20170526,1,3
668,20170526,1,3
669,20170526,3,3
670,20170526,3,3
671,20170526,6,3
672,20170526,1,3
673,20170526,2,3
674,20170526,1,3
675,20170526,3,3
676,20170526,2,3
677,20170526,2,3
678,20170526,1,3
679,20170526,1,3
680,20170526,2,3
681,20170526,1,3
682,20170526,2,3
683,20170526,2,3
684,20170526,1,3
685,20170526,2,3
686,20170526,1,3
687,20170526,2,3
688,20170526,1,3
689,20170526,1,3
690,20170526,1,3
691,20170526,2,3
692,20170526,1,3
693,20170526,7,3
694,20170526,1,3
695,20170526,1,3
696,20170526,1,3
697,20170526,2,3
698,20170526,3,3
699,20170526,1,3
700,20170526,1,3
701,20170526,8,3
702,20170526,9,3
703,20170526,2,3
704,20170526,1,3
705,20170526,1,3
706,20170526,1,3
707,20170526,3,3
708,20170526,13,3
709,20170526,11,3
710,20170526,4,3
711,20170526,8,3
712,20170526,6,3
713,20170526,2,3
714,20170526,3,3
715,20170526,1,3
716,20170526,2,3
717,20170526,1,3
718,20170526,1,3
719,20170526,1,3
720,20170526,1,3
721,20170526,1,3
722,20170526,3,3
723,20170526,1,3
724,20170526,2,3
725,20170526,4,3
726,20170526,1,3
727,20170526,9,3
728,20170526,1,3
729,20170526,3,3
730,20170526,1,3
731,20170526,1,3
732,20170526,2,3
733,20170526,67,3
734,20170526,2,3
735,20170526,9,3
736,20170526,1,3
737,20170526,2,3
738,20170526,1,3
739,20170526,1,3
740,20170526,1,3
741,20170526,2,3
742,20170526,4,3
743,20170526,2,3
744,20170526,1,3
745,20170526,1,3
746,20170526,1,3
747,20170526,2,3
748,20170526,1,3
749,20170526,6,3
750,20170526,1,3
751,20170526,2,3
752,20170526,1,3
753,20170526,1,3
754,20170526,1,3
755,20170526,3,3
756,20170526,1,3
757,20170526,1,3
758,20170526,1,3
759,20170526,1,3
760,20170526,1,3
761,20170526,2,3
762,20170526,1,3
763,20170526,1,3
764,20170526,7,3
765,20170526,1,3
766,20170526,3,3
767,20170526,1,3
768,20170526,2,3
769,20170526,68,3
770,20170526,6,3
771,20170526,1,3
772,20170526,1,3
773,20170526,2,3
774,20170526,1,3
775,20170526,1,3
776,20170526,1,3
777,20170526,1,3
778,20170526,1,3
779,20170526,2,3
780,20170526,1,3
781,20170526,4,3
782,20170526,1,3
783,20170526,3,3
784,20170526,1,3
785,20170526,1,3
786,20170526,2,3
787,20170526,2,3
788,20170526,1,3
789,20170526,1,3
790,20170526,1,3
791,20170526,1,3
792,20170526,1,3
793,20170526,3,3
794,20170526,2,3
795,20170526,2,3
796,20170526,2,3
797,20170526,1,3
798,20170526,10,3
799,20170526,1,3
800,20170526,1,3
801,20170526,4,3
802,20170526,2,3
803,20170526,1,3
804,20170526,1,3
805,20170526,1,3
806,20170526,1,3
807,20170526,1,3
808,20170526,1,3
809,20170526,22,3
810,20170526,1,3
811,20170526,1,3
812,20170526,1,3
813,20170526,2,3
814,20170526,2,3
815,20170526,2,3
816,20170526,9,3
817,20170526,4,3
818,20170526,3,3
819,20170526,1,3
820,20170526,2,3
821,20170526,2,3
822,20170526,4,3
823,20170526,2,3
824,20170526,2,3
825,20170526,1,3
826,20170526,1,3
827,20170526,1,3
828,20170526,1,3
829,20170526,1,3
830,20170526,1,3
831,20170526,2,3
832,20170526,2,3
833,20170526,3,3
834,20170526,1,3
835,20170526,3,3
836,20170526,1,3
837,20170526,1,3
838,20170526,2,3
839,20170526,3,3
840,20170526,1,3
841,20170526,2,3
842,20170526,1,3
843,20170526,1,3
844,20170526,1,3
845,20170526,1,3
846,20170526,7,3
847,20170526,1,3
848,20170526,3,3
849,20170526,3,3
850,20170526,4,3
851,20170526,1,3
852,20170526,1,3
853,20170526,2,3
854,20170526,2,3
855,20170526,1,3
856,20170526,17,3
857,20170526,2,3
858,20170526,2,3
859,20170526,1,3
860,20170526,12,3
861,20170526,1,3
862,20170526,2,3
863,20170526,3,3
864,20170526,2,3
865,20170526,5,3
866,20170526,5,3
867,20170526,3,3
868,20170526,293,3
869,20170526,96,3
870,20170517,17,3
871,20170517,2,3
872,20170517,377,3
873,20170517,1,3
874,20170517,1,3
875,20170517,1,3
876,20170517,2,3
877,20170517,1,3
878,20170517,36,3
879,20170517,1,3
880,20170517,1,3
881,20170517,1,3
882,20170517,1,3
883,20170517,9,3
884,20170517,1,3
885,20170517,1,3
886,20170517,1,3
887,20170517,2,3
888,20170517,1,3
889,20170517,42,3
890,20170517,1,3
891,20170517,1,3
892,20170517,4,3
893,20170517,1,3
894,20170517,1,3
895,20170517,1,3
896,20170517,1,3
897,20170517,7,3
898,20170517,1,3
899,20170517,2,3
900,20170517,1,3
901,20170517,6,3
902,20170517,1,3
903,20170517,1,3
904,20170517,1,3
905,20170517,1,3
906,20170517,4,3
907,20170517,1,3
908,20170517,1,3
909,20170517,1,3
910,20170517,1,3
911,20170517,1,3
912,20170517,13,3
913,20170517,2,3
914,20170517,1,3
915,20170517,1,3
916,20170517,1,3
917,20170517,1,3
918,20170517,2,3
919,20170517,2,3
920,20170517,6,3
921,20170517,2,3
922,20170517,1,3
923,20170517,1,3
924,20170517,1,3
925,20170517,3,3
926,20170517,1,3
927,20170517,1,3
928,20170517,1,3
929,20170517,1,3
930,20170517,7,3
931,20170517,6,3
932,20170517,1,3
933,20170517,1,3
934,20170517,1,3
935,20170517,1,3
936,20170517,2,3
937,20170517,1,3
938,20170517,5,3
939,20170517,1,3
940,20170517,10,3
941,20170517,1,3
942,20170517,1,3
943,20170517,1,3
944,20170517,1,3
945,20170517,3,3
946,20170517,1,3
947,20170517,2,3
948,20170517,1,3
949,20170517,2,3
950,20170517,5,3
951,20170517,2,3
952,20170517,1,3
953,20170517,1,3
954,20170517,1,3
955,20170517,1,3
956,20170517,1,3
957,20170517,7,3
958,20170517,6,3
959,20170517,1,3
960,20170517,4,3
961,20170517,2,3
962,20170517,1,3
963,20170517,1,3
964,20170517,1,3
965,20170517,2,3
966,20170517,3,3
967,20170517,2,3
968,20170517,9,3
969,20170517,1,3
970,20170517,1,3
971,20170517,2,3
972,20170517,2,3
973,20170517,15,3
974,20170517,2,3
975,20170517,1,3
976,20170517,2,3
977,20170517,2,3
978,20170517,2,3
979,20170517,2,3
980,20170517,2,3
981,20170517,2,3
982,20170517,4,3
983,20170517,1,3
984,20170517,1,3
985,20170517,3,3
986,20170517,1,3
987,20170517,2,3
988,20170517,1,3
989,20170517,4,3
990,20170517,2,3
991,20170517,5,3
992,20170517,3,3
993,20170517,1,3
994,20170517,4,3
995,20170517,3,3
996,20170517,2,3
997,20170517,2,3
998,20170517,3,3
999,20170517,1,3
1000,20170517,1,3
1001,20170517,2,3
1002,20170517,2,3
1003,20170517,8,3
1004,20170517,1,3
1005,20170517,6,3
1006,20170517,2,3
1007,20170517,2,3
1008,20170517,1,3
1009,20170517,2,3
1010,20170517,2,3
1011,20170517,2,3
1012,20170517,5,3
1013,20170517,2,3
1014,20170517,1,3
1015,20170517,1,3
1016,20170517,1,3
1017,20170517,1,3
1018,20170517,75,3
1019,20170517,3,3
1020,20170517,1,3
1021,20170517,1,3
1022,20170517,2,3
1023,20170517,1,3
1024,20170517,1,3
1025,20170517,3,3
1026,20170517,1,3
1027,20170517,1,3
1028,20170517,1,3
1029,20170517,1,3
1030,20170517,1,3
1031,20170517,1,3
1032,20170517,2,3
1033,20170517,1,3
1034,20170517,1,3
1035,20170517,1,3
1036,20170517,1,3
1037,20170517,1,3
1038,20170517,1,3
1039,20170517,3,3
1040,20170517,1,3
1041,20170517,1,3
1042,20170517,1,3
1043,20170517,1,3
1044,20170517,1,3
1045,20170517,1,3
1046,20170517,1,3
1047,20170517,1,3
1048,20170517,1,3
1049,20170517,19,3
1050,20170517,1,3
1051,20170517,3,3
1052,20170517,1,3
1053,20170517,1,3
1054,20170517,1,3
1055,20170517,1,3
1056,20170517,2,3
1057,20170517,1,3
1058,20170517,1,3
1059,20170517,4,3
1060,20170517,2,3
1061,20170517,1,3
1062,20170517,1,3
1063,20170517,1,3
1064,20170517,1,3
1065,20170517,1,3
1066,20170517,1,3
1067,20170517,1,3
1068,20170517,1,3
1069,20170517,1,3
1070,20170517,1,3
1071,20170517,1,3
1072,20170517,1,3
1073,20170517,2,3
1074,20170517,1,3
1075,20170517,5,3
1076,20170517,1,3
1077,20170517,1,3
1078,20170517,1,3
1079,20170517,1,3
1080,20170517,2,3
1081,20170517,1,3
1082,20170517,1,3
1083,20170517,1,3
1084,20170517,1,3
1085,20170517,1,3
1086,20170517,1,3
1087,20170517,1,3
1088,20170517,1,3
1089,20170517,1,3
1090,20170517,1,3
1091,20170517,1,3
1092,20170517,4,3
1093,20170517,1,3
1094,20170517,6,3
1095,20170517,1,3
1096,20170517,1,3
1097,20170517,7,3
1098,20170517,1,3
1099,20170517,2,3
1100,20170517,1,3
1101,20170517,1,3
1102,20170517,1,3
1103,20170517,1,3
1104,20170517,1,3
1105,20170517,1,3
1106,20170517,2,3
1107,20170517,1,3
1108,20170517,4,3
1109,20170517,1,3
1110,20170517,1,3
1111,20170517,2,3
1112,20170517,1,3
1113,20170517,2,3
1114,20170517,1,3
1115,20170517,1,3
1116,20170517,1,3
1117,20170517,1,3
1118,20170517,1,3
1119,20170517,1,3
1120,20170517,1,3
1121,20170517,5,3
1122,20170517,18,3
1123,20170517,13,3
1124,20170517,11,3
1125,20170517,1,3
1126,20170517,1,3
1127,20170517,2,3
1128,20170517,1,3
1129,20170517,1,3
1130,20170517,7,3
1131,20170517,1,3
1132,20170517,2,3
1133,20170517,2,3
1134,20170517,1,3
1135,20170517,1,3
1136,20170517,1,3
1137,20170517,6,3
1138,20170517,6,3
1139,20170517,1,3
1140,20170517,1,3
1141,20170517,18,3
1142,20170517,1,3
1143,20170517,1,3
1144,20170517,4,3
1145,20170517,1,3
1146,20170517,1,3
1147,20170517,2,3
1148,20170517,1,3
1149,20170517,1,3
1150,20170517,2,3
1151,20170517,4,3
1152,20170517,3,3
1153,20170517,4,3
1154,20170517,2,3
1155,20170517,2,3
1156,20170517,3,3
1157,20170517,1,3
1158,20170517,1,3
1159,20170517,1,3
1160,20170517,2,3
1161,20170517,5,3
1162,20170517,14,3
1163,20170517,3,3
1164,20170517,2,3
1165,20170517,11,3
1166,20170517,15,3
1167,20170517,8,3
1168,20170517,3,3
1169,20170517,2,3
1170,20170517,2,3
1171,20170517,1,3
1172,20170517,1,3
1173,20170517,2,3
1174,20170517,1,3
1175,20170517,1,3
1176,20170517,1,3
1177,20170517,1,3
1178,20170517,1,3
1179,20170517,1,3
1180,20170517,16,3
1181,20170517,1,3
1182,20170517,2,3
1183,20170517,4,3
1184,20170517,1,3
1185,20170517,1,3
1186,20170517,1,3
1187,20170517,1,3
1188,20170517,1,3
1189,20170517,3,3
1190,20170517,1,3
1191,20170517,1,3
1192,20170517,1,3
1193,20170517,1,3
1194,20170517,1,3
1195,20170517,1,3
1196,20170517,1,3
1197,20170517,4,3
1198,20170517,2,3
1199,20170517,1,3
1200,20170517,2,3
1201,20170517,2,3
1202,20170517,1,3
1203,20170517,1,3
1204,20170517,283,3
1205,20170517,1,3
1206,20170517,1,3
1207,20170517,1,3
1208,20170517,1,3
1209,20170517,7,3
1210,20170517,1,3
1211,20170517,2,3
1212,20170517,1,3
1213,20170517,2,3
1214,20170517,5,3
1215,20170517,1,3
1216,20170517,1,3
1217,20170517,12,3
1218,20170517,1,3
1219,20170517,2,3
1220,20170517,2,3
1221,20170517,1,3
1222,20170517,4,3
1223,20170517,1,3
1224,20170517,1,3
1225,20170517,1,3
1226,20170517,1,3
1227,20170517,1,3
1228,20170517,1,3
1229,20170517,3,3
1230,20170517,1,3
1231,20170517,2,3
1232,20170517,1,3
1233,20170517,1,3
1234,20170517,1,3
1235,20170517,2,3
1236,20170517,6,3
1237,20170517,1,3
1238,20170517,1,3
1239,20170517,2,3
1240,20170517,25,3
1241,20170517,1,3
1242,20170517,5,3
1243,20170517,1,3
1244,20170517,1,3
1245,20170517,1,3
1246,20170517,1,3
1247,20170517,1,3
1248,20170517,1,3
1249,20170517,2,3
1250,20170517,10,3
1251,20170517,5,3
1252,20170517,9,3
1253,20170517,2,3
1254,20170517,3,3
1255,20170517,1,3
1256,20170517,2,3
1257,20170517,4,3
1258,20170517,4,3
1259,20170517,2,3
1260,20170517,1,3
1261,20170517,1,3
1262,20170517,1,3
1263,20170517,1,3
1264,20170517,1,3
1265,20170517,1,3
1266,20170517,2,3
1267,20170517,2,3
1268,20170517,2,3
1269,20170517,3,3
1270,20170517,3,3
1271,20170517,2,3
1272,20170517,2,3
1273,20170517,2,3
1274,20170517,6,3
1275,20170517,2,3
1276,20170517,1,3
1277,20170517,1,3
1278,20170517,2,3
1279,20170517,1,3
1280,20170517,2,3
1281,20170517,1,3
1282,20170517,1,3
1283,20170517,8,3
1284,20170517,4,3
1285,20170517,9,3
1286,20170517,2,3
1287,20170517,1,3
1288,20170517,1,3
1289,20170517,1,3
1290,20170517,2,3
1291,20170517,1,3
1292,20170517,1,3
1293,20170517,1,3
1294,20170517,1,3
1295,20170517,1,3
1296,20170517,1,3
1297,20170517,3,3
1298,20170517,6,3
1299,20170517,1,3
1300,20170517,3,3
1301,20170517,5,3
1302,20170517,12,3
1303,20170517,1,3
1304,20170517,1,3
1305,20170517,1,3
1306,20170517,1,3
1307,20170517,2,3
1308,20170517,2,3
1309,20170517,1,3
1310,20170517,2,3
1311,20170517,1,3
1312,20170517,5,3
1313,20170517,2,3
1314,20170517,1,3
1315,20170517,1,3
1316,20170517,4,3
1317,20170517,1,3
1318,20170517,25,3
1319,20170517,2,3
1320,20170517,2,3
1321,20170517,1,3
1322,20170517,1,3
1323,20170527,1,3
1324,20170527,1,3
1325,20170527,1,3
1326,20170527,1,3
1327,20170527,1,3
1328,20170527,1,3
1329,20170527,2,3
1330,20170527,2,3
1331,20170527,1,3
1332,20170527,1,3
1333,20170527,2,3
1334,20170527,2,3
1335,20170527,1,3
1336,20170527,1,3
1337,20170527,1,3
1338,20170527,1,3
1339,20170527,1,3
1340,20170527,114,3
1341,20170527,3,3
1342,20170527,1,3
1343,20170527,5,3
1344,20170527,1,3
1345,20170527,1,3
1346,20170527,1,3
1347,20170527,1,3
1348,20170527,1,3
1349,20170527,2,3
1350,20170527,1,3
1351,20170527,1,3
1352,20170527,3,3
1353,20170527,2,3
1354,20170527,1,3
1355,20170527,2,3
1356,20170527,3,3
1357,20170527,2,3
1358,20170527,2,3
1359,20170527,2,3
